Timestamp,Enter your Roll No. (eg. 31401) ,Gender,Enter your FE aggregate CGPA: (eg. 9.90),Enter your SE aggregate  CGPA: (eg. 8.20),Sem 3 CGPA (eg. 9.60),Discrete Mathematics (eg. C),  Eng. Mathematics III  ,Data Structures and Algorithms  ,Software Engineering  ,Microprocessor  ,Principles of Programming Languages   ,Data Structures and Algorithms Lab   ,Microprocessor Lab,Code of Conduct  ,Project Based Learning  ,"Audit Course 4 (Water Management, Intellectual Rights & Patents, etc)",Fundamentals of Data Structures  ,Object Oriented Programming  ,Computer Graphics   ,Digital Electronics and Logic Design   ,Humanity and Social Science   ,Data Structures Lab  ,OOP and Computer Graphics Lab  ,Digital Electronics Lab  ,Business Communication Skills Lab   ,Audit Course 3 (eg. Foreign Language),Engineering Mathematics 3 Lab,,,,,Microprocessor Lab  
31/01/2023 14:54:12,31484,Female,9.95,9.73,9.4,A,B,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2023 09:39:47,31418,Male,10,8.84,9.91,A,O,B,D,E,C,C,B,O,C,O,A,B,D,C,D,B,B,C,D,C,O,,,,,
01/02/2023 09:41:38,31471,Male,8.2,7.86,9.02,A,B,B,A,B,B,D,D,O,A,O,B,B,B,A,A,D,D,A,O,O,D,,,,,
01/02/2023 09:42:11,31450,Male,9.78,8.81,9.57,A,A,A,B,A,B,A,B,B,A,A,B,A,B,A,A,B,A,A,B,A,B,,,,,
01/02/2023 09:44:32,31480,Female,10,9.2,10,A,O,O,C,B,A,O,B,A,O,B,O,A,B,C,A,A,C,C,O,A,O,,,,,
01/02/2023 09:44:53,31479,Female,9.68,8.9,8.65,A,O,A,B,B,A,A,B,O,A,A,A,O,B,O,B,A,B,A,B,O,O,,,,,
01/02/2023 09:45:13,31401,Male,9.3,8.18,9.14,A,B,B,B,A,B,A,B,O,A,O,O,A,O,A,O,A,O,A,O,O,A,,,,,
01/02/2023 09:45:21,31448,Male,9.8,8.48,9.7,B,C,A,C,B,C,B,A,A,C,O,A,B,A,B,B,A,A,B,A,B,B,,,,,
01/02/2023 09:48:13,31436,Male,9.8,8,8.6,B,B,B,B,B,B,B,B,O,O,O,B,B,B,B,B,C,C,O,A,A,A,,,,,
01/02/2023 09:49:38,31433,Male,10,9.3,9.86,O,O,B,C,A,B,O,O,O,O,A,O,O,O,O,O,A,O,O,O,A,O,,,,,
01/02/2023 09:53:00,31475,Male,10,9,9.55,A,A,B,B,B,C,O,A,O,A,O,O,A,B,O,A,B,B,A,B,A,O,,,,,
01/02/2023 09:53:33,31474,Male,9,8.3,8,C,B,B,B,B,B,A,A,A,A,O,A,A,B,B,O,A,A,A,A,O,A,,,,,
01/02/2023 09:55:21,31420,Male,9.6,8,9.09,A,B,A,A,B,A,B,A,O,A,O,O,A,A,A,A,A,A,A,,A,B,,,,,
01/02/2023 10:59:57,31464,Male,6.65,8.14,7.23,B,B,,,,C,A,B,B,B,C,C,B,C,B,C,C,B,B,A,F,C,,,,,
01/02/2023 12:45:41,31468,Female,,8.63,9.59,A,B,O,O,A,A,O,O,O,O,O,O,O,A,A,O,O,A,O,O,,A,,,,,
01/02/2023 13:11:48,31435,Male,9,8.6,9.45,O,C,C,B,D,B,A,A,A,A,O,A,O,A,O,A,A,A,A,A,O,B,,,,,
01/02/2023 14:54:42,31427,Male,10,9.27,9.77,O,O,B,A,A,D,O,B,O,O,O,O,O,O,O,O,B,O,A,O,O,A,,,,,
01/02/2023 18:47:04,31426,Female,,7.96,8.82,O,D,B,C,C,C,B,B,O,O,A,A,B,C,O,A,A,B,A,O,O,B,,,,,
02/02/2023 09:23:46,31458,Female,9.98,9.45,8,A,B,B,A,B,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,,,,,
02/02/2023 09:26:12,31455,Male,10,8.57,9.16,B,A,B,B,B,B,A,A,B,A,O,A,A,B,A,O,B,A,B,A,A,A,,,,,
02/02/2023 09:28:10,31451,Male,,8.8,9.8,B,C,O,D,C,O,D,D,O,O,A,C,A,B,O,O,A,B,C,D,A,D,,,,,
02/02/2023 13:08:47,31406,Male,10,9.98,9.5,B,A,A,B,B,A,C,B,O,A,O,A,B,B,A,O,O,A,O,B,A,A,,,,,
02/02/2023 13:34:42,31462,Male,9.82,8.43,9.59,O,B,D,D,D,B,C,B,A,A,A,O,O,O,O,A,B,A,A,A,B,A,,,,,
02/02/2023 14:08:01,31425,Male,9.93,9.26,10,A,A,O,O,A,B,A,B,O,B,O,B,O,B,A,O,B,B,A,A,A,B,,,,,
14/02/2023 12:09:19,31413,Female,10,9.3,9.55,A,A,A,B,A,A,A,A,O,A,O,A,A,A,A,O,A,A,A,O,O,A,,,,,